,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,smiles
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C=C(C)C(=O)OCCOC(=O)C(=C)C
14,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,O=C([O-])Cc1cccc2ccccc12
16,0.0,0.0,0.0,,0.0,,,,,0.0,,,CCCCCCCCCCOCC(O)CN
17,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,CCN(CC)C(=O)c1cccnc1
18,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,COc1cc(O)cc(O)c1
19,,,,,,,,0.0,,0.0,,,CCOC(=O)c1cccnc1
20,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,CCOc1ccc(S(=O)(=O)O)c2cccnc12
21,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(O)[C@H](O)c1ccccc1
22,0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0,Nc1ccc(/N=N/c2ccccc2)cc1
23,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,,,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2
25,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C#CCO
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Nc1ccccc1S(=O)(=O)O
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(O)CC(C)(C)O
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)(C)CC(C)(C)N
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(=O)CC(C)C
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCC(C)=O
32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nc1nc2ccccc2[nH]1
33,0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c1ccc(-c2ccccc2)cc1
35,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,CNC(=O)Nc1ccc(Cl)c(Cl)c1
36,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,CC(=O)Nc1ccc(C)c(Cl)c1
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CCCCNC(=S)NCCCC
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCNC(=O)NCCCC
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)N(c1ccccc1)C(C)C
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCc1cccc(C)c1
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1
42,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CCCCCCCCCCC=CC1CC(=O)OC1=O
44,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
46,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCOP(=S)(CC)Sc1ccccc1
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC/C=C\CCCCO
48,,0.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1
49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(=O)CCC(C)=O
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N#CCCNCCC#N
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1
53,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1
54,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,0.0,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1
55,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2
56,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1ccccc1CCO
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1nc(C)c(C)nc1C
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1=CC(O)CC(C)(C)C1
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1cnc(C)c(C)n1
61,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)COC(=O)c1ccccc1
62,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C=C(C)[C@@H]1CC=C(C)CC1
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2]
64,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,,Nc1ccc(N)c([N+](=O)[O-])c1
65,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,CC1COc2ccccc2N1
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,O=C(O)c1cc(Cl)cc(Cl)c1O
67,0.0,,0.0,,,,,,0.0,,,,CCCCCCCCCCCC(=O)NCCCN(C)C
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)CCCCCOC(=O)CCS
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,C=CCOc1c(Br)cc(Br)cc1Br
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,F[B-](F)(F)F.[H+]
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
74,0.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,C(=C/c1ccccc1)\c1ccccc1
75,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,Cc1ccc2c(ccc3ccccc32)c1
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
77,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O
78,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,,,0.0,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COC(=O)C1=CCCN(C)C1
80,,,,,,,,0.0,,0.0,,,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1ccc(C(=O)O)cc1[N+](=O)[O-]
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1cc(C(=O)O)ccc1[N+](=O)[O-]
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCC(C)O
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,O=C([O-])c1ccccc1O
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC(=O)c1ccccc1
87,,,,,,,,0.0,,0.0,,,CCN1CCc2nc(N)oc2CC1
88,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO
90,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br
91,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1
93,0.0,,0.0,,,0.0,,1.0,0.0,0.0,0.0,0.0,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
94,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0,Nc1ccc([N+](=O)[O-])cc1N
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[I-].[K+]
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O
97,0.0,,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,Oc1nc(Cl)c(Cl)cc1Cl
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,C/C=C/C=C/C=O
99,1.0,,0.0,,,0.0,,1.0,0.0,0.0,,0.0,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl
100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,C[Si](C)(C)N[Si](C)(C)C
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,C=CC(=O)OCCCl
102,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,0.0,COCC(C)N(C(=O)CCl)c1c(C)csc1C
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
104,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-]
105,0.0,0.0,0.0,,,,,1.0,,0.0,,,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O
111,1.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
112,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C
113,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(O)/C=C(\CC(=O)O)C(=O)O
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1
115,,,,,,,,0.0,,0.0,,,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO
116,0.0,0.0,0.0,,,0.0,,1.0,0.0,,,1.0,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
117,,,,,,,,0.0,,0.0,,,CNCC(=O)c1ccc(O)c(O)c1
118,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CC(C)(C)C1CCC(=O)CC1
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12
120,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,CCCCC(=O)[O-]
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCCCCCCCCCC(=O)OC
124,,,,,,,,0.0,,0.0,,,Nc1ccncc1N
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCCC(C)O
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCC[Si](OC)(OC)OC
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1=C(CC=O)C(C)(C)CCC1
128,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NCCNCCNCCN
129,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O
130,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
131,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,0.0,Cc1ccc(N)c(N)c1
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCNCCCCC
133,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COCC(C)O
134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,c1ccc2c(c1)Oc1ccccc1S2
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC1CN1
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1
137,,,,,,,,,,0.0,,,NCC(=O)CCC(=O)O
138,0.0,,,1.0,0.0,,0.0,,0.0,1.0,0.0,,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1
140,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
141,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ClCOCCl
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(O)CNCC(C)O
143,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
144,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,O=[N+]([O-])c1ccc([As](=O)(O)O)cc1
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,CCOC(=O)C1OC1c1ccccc1
147,0.0,0.0,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,ONc1ccccc1
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,O=CC(=O)c1ccccc1
149,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,[Cu]I
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-]
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,ClCc1ccc(Cl)cc1Cl
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C(O)CCCCCCCCC(=O)O
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CCCCCCCC(=O)OC
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(O)COCC(C)O
155,,,,,,,,0.0,,0.0,,,Cc1ccc(C(=O)C(=O)[O-])cc1C
156,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12
157,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1ncc[nH]1
158,0.0,,0.0,1.0,,0.0,1.0,,0.0,0.0,,,COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1
159,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1
161,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1
162,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Cc1nc(C)nc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O
164,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,Cc1cc(SC2=C(O)C[C@@](CCc3ccc(N)cc3)(C(C)C)OC2=O)c(C(C)(C)C)cc1CO
165,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,CCn1nc(C)c2c1C(=O)NCC(c1ccc(O)cc1)=N2
166,1.0,1.0,0.0,,1.0,,0.0,,0.0,,0.0,0.0,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-]
167,,,,,,,,0.0,,0.0,,,CN1C[C@H]2c3ccccc3Oc3ccc(Cl)cc3[C@@H]2C1
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CO[Si](C)(C)OC
170,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
171,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1
172,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(=O)c1ccccc1O
173,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,O=C(O)c1cccc(Cl)n1
175,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,CCCCCCCCCC=O
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cc1ccc(C(C)(C)C)cc1
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BrCBr
